,doc_id,sentence_id,position,text,tokens,sentence_token_count
0,tlg0304.tlg001,lagt_tlg0304.tlg001_0,0,"Μαρτύριον τοῦ ἁγίου καί πανευφήμου ἀποστόλου Ἀπολλώ, τοῦ καί Σακκέα.","[('Μαρτύριον', 'μαρτύριος', 'NOUN', {'div': 0}, 0, 9), ('τοῦ', 'ὁ', 'DET', {'div': 0}, 10, 13), ('ἁγίου', 'ἅγιος', 'ADJ', {'div': 0}, 14, 19), ('καί', 'καί', 'CCONJ', {'div': 0}, 20, 23), ('πανευφήμου', 'πανευφήμου', 'ADJ', {'div': 0}, 24, 34), ('ἀποστόλου', 'ἀποστόλου', 'NOUN', {'div': 0}, 35, 44), ('Ἀπολλώ', 'ἀπολλώ', 'PROPN', {'div': 0}, 45, 51), (',', ',', 'PUNCT', {'div': 0}, 51, 52), ('τοῦ', 'ὁ', 'DET', {'div': 0}, 53, 56), ('καί', 'καί', 'ADV', {'div': 0}, 57, 60), ('Σακκέα', 'σακκεύς', 'PROPN', {'div': 0}, 61, 67), ('.', '.', 'PUNCT', {'div': 0}, 67, 68)]",12
1,tlg0304.tlg001,lagt_tlg0304.tlg001_1,1,"Ἐπί Κομόδου βασιλέως γεναμένου διωγμοῦ κατά τῶν Χριστιανῶν, Περέννιός τις ἦν ἀνθύπατος τῆς Ἀσίας.","[('Ἐπί', 'ἐπί', 'ADP', {'div': 0}, 0, 3), ('Κομόδου', 'κομόδης', 'PROPN', {'div': 0}, 4, 11), ('βασιλέως', 'βασιλεύς', 'NOUN', {'div': 0}, 12, 20), ('γεναμένου', 'γεναμένος', 'VERB', {'div': 0}, 21, 30), ('διωγμοῦ', 'διωγμός', 'NOUN', {'div': 0}, 31, 38), ('κατά', 'κατά', 'ADP', {'div': 0}, 39, 43), ('τῶν', 'ὁ', 'DET', {'div': 0}, 44, 47), ('Χριστιανῶν', 'χριστιανός', 'ADJ', {'div': 0}, 48, 58), (',', ',', 'PUNCT', {'div': 0}, 58, 59), ('Περέννιός', 'περέννιος', 'ADJ', {'div': 0}, 60, 69), ('τις', 'τίς', 'DET', {'div': 0}, 70, 73), ('ἦν', 'εἰμί', 'AUX', {'div': 0}, 74, 76), ('ἀνθύπατος', 'ἀνθύπατος', 'NOUN', {'div': 0}, 77, 86), ('τῆς', 'ὁ', 'DET', {'div': 0}, 87, 90), ('Ἀσίας', 'ἀσία', 'PROPN', {'div': 0}, 91, 96), ('.', '.', 'PUNCT', {'div': 0}, 96, 97)]",16
2,tlg0304.tlg001,lagt_tlg0304.tlg001_2,2,"Ἀπολλώς δέ ὁ ἀπόστολος, ἀνήρ ὤν εὐλαβής, Ἀλεξανδρεύς τῷ γένει, φοβούμενος τόν κύριον, συλληφθείς προσήχθη.","[('Ἀπολλώς', 'ἀπολλώς', 'PROPN', {'div': 0}, 0, 7), ('δέ', 'δέ', 'ADV', {'div': 0}, 8, 10), ('ὁ', 'ὁ', 'DET', {'div': 0}, 11, 12), ('ἀπόστολος', 'ἀπόστολος', 'NOUN', {'div': 0}, 13, 22), (',', ',', 'PUNCT', {'div': 0}, 22, 23), ('ἀνήρ', 'ἀνήρ', 'NOUN', {'div': 0}, 24, 28), ('ὤν', 'οὖν', 'AUX', {'div': 0}, 29, 31), ('εὐλαβής', 'εὐλαβής', 'ADJ', {'div': 0}, 32, 39), (',', ',', 'PUNCT', {'div': 0}, 39, 40), ('Ἀλεξανδρεύς', 'ἀλεξανδρεύς', 'NOUN', {'div': 0}, 41, 52), ('τῷ', 'ὁ', 'DET', {'div': 0}, 53, 55), ('γένει', 'γένος', 'NOUN', {'div': 0}, 56, 61), (',', ',', 'PUNCT', {'div': 0}, 61, 62), ('φοβούμενος', 'φοβέω', 'VERB', {'div': 0}, 63, 73), ('τόν', 'ὁ', 'DET', {'div': 0}, 74, 77), ('κύριον', 'κύριος', 'NOUN', {'div': 0}, 78, 84), (',', ',', 'PUNCT', {'div': 0}, 84, 85), ('συλληφθείς', 'συλληίθημφ', 'VERB', {'div': 0}, 86, 96), ('προσήχθη', 'προσάγω', 'VERB', {'div': 0}, 97, 105), ('.', '.', 'PUNCT', {'div': 0}, 105, 106)]",20
3,tlg0304.tlg001,lagt_tlg0304.tlg001_3,3,"Οὗ προσαχθέντος, Περέννιος ὁ ἀνθύπατος εἶπεν.","[('Οὗ', 'ὅς', 'PRON', {'div': '1'}, 0, 2), ('προσαχθέντος', 'προσαχθέις', 'VERB', {'div': '1'}, 3, 15), (',', ',', 'PUNCT', {'div': '1'}, 15, 16), ('Περέννιος', 'περέννιος', 'PROPN', {'div': '1'}, 17, 26), ('ὁ', 'ὁ', 'DET', {'div': '1'}, 27, 28), ('ἀνθύπατος', 'ἀνθύπατος', 'NOUN', {'div': '1'}, 29, 38), ('εἶπεν', 'λέγω', 'VERB', {'div': '1'}, 39, 44), ('.', '.', 'PUNCT', {'div': '1'}, 44, 45)]",8
4,tlg0304.tlg001,lagt_tlg0304.tlg001_4,4,"Ἀπολλώ, Χριστιανός εἶ;","[('Ἀπολλώ', 'ἀπολλώ', 'PROPN', {'div': '1'}, 0, 6), (',', ',', 'PUNCT', {'div': '1'}, 6, 7), ('Χριστιανός', 'χριστιανος', 'NOUN', {'div': '1'}, 8, 18), ('εἶ', 'εἰμί', 'AUX', {'div': '1'}, 19, 21), (';', ';', 'PUNCT', {'div': '1'}, 21, 22)]",5
5,tlg0304.tlg001,lagt_tlg0304.tlg001_5,5,Ἀπολλώς εἶπεν.,"[('Ἀπολλώς', 'ἀπολλώς', 'PROPN', {'div': '2'}, 0, 7), ('εἶπεν', 'λέγω', 'VERB', {'div': '2'}, 8, 13), ('.', '.', 'PUNCT', {'div': '2'}, 13, 14)]",3
6,tlg0304.tlg001,lagt_tlg0304.tlg001_6,6,"Ναί, Χριστιανός εἶμι.","[('Ναί', 'ναί', 'INTJ', {'div': '2'}, 0, 3), (',', ',', 'PUNCT', {'div': '2'}, 3, 4), ('Χριστιανός', 'χριστιανος', 'NOUN', {'div': '2'}, 5, 15), ('εἶμι', 'εἶμι', 'AUX', {'div': '2'}, 16, 20), ('.', '.', 'PUNCT', {'div': '2'}, 20, 21)]",5
7,tlg0304.tlg001,lagt_tlg0304.tlg001_7,7,καί διά τοῦτο τόν θεόν τόν ποιήσαντα τόν οὐρανόν καί τήν γῆν καί τήν θάλασσαν καί πάντα τά ἐν αὐτοῖς σέβομαι καί φοβοῦμαι.,"[('καί', 'καί', 'CCONJ', {'div': '2'}, 0, 3), ('διά', 'διά', 'ADP', {'div': '2'}, 4, 7), ('τοῦτο', 'οὗτος', 'ADJ', {'div': '2'}, 8, 13), ('τόν', 'ὁ', 'DET', {'div': '2'}, 14, 17), ('θεόν', 'θεός', 'NOUN', {'div': '2'}, 18, 22), ('τόν', 'ὁ', 'DET', {'div': '2'}, 23, 26), ('ποιήσαντα', 'ποιέω', 'VERB', {'div': '2'}, 27, 36), ('τόν', 'ὁ', 'DET', {'div': '2'}, 37, 40), ('οὐρανόν', 'οὐρανός', 'NOUN', {'div': '2'}, 41, 48), ('καί', 'καί', 'CCONJ', {'div': '2'}, 49, 52), ('τήν', 'ὁ', 'DET', {'div': '2'}, 53, 56), ('γῆν', 'γῆ', 'NOUN', {'div': '2'}, 57, 60), ('καί', 'καί', 'CCONJ', {'div': '2'}, 61, 64), ('τήν', 'ὁ', 'DET', {'div': '2'}, 65, 68), ('θάλασσαν', 'θάλασσα', 'NOUN', {'div': '2'}, 69, 77), ('καί', 'καί', 'CCONJ', {'div': '2'}, 78, 81), ('πάντα', 'πᾶς', 'DET', {'div': '2'}, 82, 87), ('τά', 'ὁ', 'DET', {'div': '2'}, 88, 90), ('ἐν', 'ἐν', 'ADP', {'div': '2'}, 91, 93), ('αὐτοῖς', 'αὐτός', 'PRON', {'div': '2'}, 94, 100), ('σέβομαι', 'σέβω', 'VERB', {'div': '2'}, 101, 108), ('καί', 'καί', 'CCONJ', {'div': '2'}, 109, 112), ('φοβοῦμαι', 'φοβέω', 'VERB', {'div': '2'}, 113, 121), ('.', '.', 'PUNCT', {'div': '2'}, 121, 122)]",24
8,tlg0304.tlg001,lagt_tlg0304.tlg001_8,8,Περέννιος ὁ ἀνθύπατος εἶπεν.,"[('Περέννιος', 'περέννιος', 'PROPN', {'div': '3'}, 0, 9), ('ὁ', 'ὁ', 'DET', {'div': '3'}, 10, 11), ('ἀνθύπατος', 'ἀνθύπατος', 'NOUN', {'div': '3'}, 12, 21), ('εἶπεν', 'λέγω', 'VERB', {'div': '3'}, 22, 27), ('.', '.', 'PUNCT', {'div': '3'}, 27, 28)]",5
9,tlg0304.tlg001,lagt_tlg0304.tlg001_9,9,"Μετανόησον, πεισθείς μοι, Ἀπολλώ,","[('Μετανόησον', 'μετανόησος', 'VERB', {'div': '3'}, 0, 10), (',', ',', 'PUNCT', {'div': '3'}, 10, 11), ('πεισθείς', 'πείθω', 'VERB', {'div': '3'}, 12, 20), ('μοι', 'ἐγώ', 'PRON', {'div': '3'}, 21, 24), (',', ',', 'PUNCT', {'div': '3'}, 24, 25), ('Ἀπολλώ', 'ἀπολλώ', 'PROPN', {'div': '3'}, 26, 32), (',', ',', 'PUNCT', {'div': '3'}, 32, 33)]",7
